Threshold,Cost
0.05,406000
0.06,393500
0.07,392000
0.08,386500
0.09,386500
0.1,381000
0.11,391000
0.12,389500
0.13,405000
0.14,400000
0.15,424500
0.16,454500
0.17,454500
0.18,493500
0.19,500000
0.2,513000
0.21,518500
0.22,557000
0.23,562000
0.24,574500
0.25,588000
0.26,607500
0.27,609500
0.28,634500
0.29,664000
0.3,687500
0.31,709500
0.32,731000
0.33,756000
0.34,753000
0.35,779500
0.36,796000
0.37,812000
0.38,841000
0.39,854500
0.4,867000
0.41,869000
0.42,911000
0.43,926000
0.44,942000
0.45,970000
0.46,982000
0.47,1014500
0.48,1022500
0.49,1048000
0.5,1061000
0.51,1084500
0.52,1103000
0.53,1125000
0.54,1146500
0.55,1145500
0.56,1168500
0.57,1177000
0.58,1184000
0.59,1227000
0.6,1274000
0.61,1287000
0.62,1294500
0.63,1313000
0.64,1331000
0.65,1359000
0.66,1378000
0.67,1392500
0.68,1416000
0.69,1455000
0.7,1463000
0.71,1497000
0.72,1512000
0.73,1526000
0.74,1535000
0.75,1544500
0.76,1554000
0.77,1574000
0.78,1598500
0.79,1623000
0.8,1637000
0.81,1667000
0.82,1671000
0.83,1690500
0.84,1705000
0.85,1710000
0.86,1715000
0.87,1722500
0.88,1732000
0.89,1752000
0.9,1762000
0.91,1771500
0.92,1781500
0.93,1785500
0.94,1815500
0.95,1830500
